"","score","condition","cneg","cpos"
"1",2.34697726213874,"Control",1,0
"2",6.98345228181747,"Control",1,0
"3",3.22601949277445,"Control",1,0
"4",5.61590708431446,"Control",1,0
"5",1.99711409108663,"Control",1,0
"6",2.98135753298305,"Control",1,0
"7",5.49562446599903,"Control",1,0
"8",0.724871128803052,"Control",1,0
"9",1.47961029552946,"Control",1,0
"10",6.73265592728441,"Control",1,0
"11",1.02681748956388,"Control",1,0
"12",10.3081283453877,"Control",1,0
"13",4.69730043994525,"Control",1,0
"14",4.99105508850485,"Control",1,0
"15",3.68333723283619,"Control",1,0
"16",5.19534953738653,"Control",1,0
"17",1.84318245577903,"Control",1,0
"18",6.75908596561757,"Control",1,0
"19",4.71226471846688,"Control",1,0
"20",4.92447986686414,"Control",1,0
"21",7.4603575281771,"Positive",0,1
"22",6.98695562449546,"Positive",0,1
"23",8.49735080784597,"Positive",0,1
"24",7.60417328140228,"Positive",0,1
"25",6.6677195774879,"Positive",0,1
"26",9.12176306940666,"Positive",0,1
"27",8.67143901732007,"Positive",0,1
"28",5.20939789432702,"Positive",0,1
"29",5.52166205021322,"Positive",0,1
"30",2.80336435607526,"Positive",0,1
"31",10.044049002542,"Positive",0,1
"32",8.77870527335832,"Positive",0,1
"33",10.5586481020722,"Positive",0,1
"34",6.49594199226048,"Positive",0,1
"35",6.65127633670318,"Positive",0,1
"36",7.79481095370154,"Positive",0,1
"37",4.24297467869681,"Positive",0,1
"38",4.10290994270023,"Positive",0,1
"39",5.85850473613017,"Positive",0,1
"40",6.21536938560102,"Positive",0,1
"41",7.43879253802677,"Negative",0,0
"42",3.53275977252238,"Negative",0,0
"43",0.710163634862603,"Negative",0,0
"44",4.52249430829053,"Negative",0,0
"45",6.02264012297996,"Negative",0,0
"46",4.45598159200039,"Negative",0,0
"47",2.658375335126,"Negative",0,0
"48",8.42277295457794,"Negative",0,0
"49",5.30588235344901,"Negative",0,0
"50",3.14403549533732,"Negative",0,0
"51",5.70950457986325,"Negative",0,0
"52",5.96970382933235,"Negative",0,0
"53",6.64213439970406,"Negative",0,0
"54",5.53064409809907,"Negative",0,0
"55",4.04704861285156,"Negative",0,0
"56",7.04089673843719,"Negative",0,0
"57",2.77995917300421,"Negative",0,0
"58",3.44051724682244,"Negative",0,0
"59",3.81488742019995,"Negative",0,0
"60",2.63027010529551,"Negative",0,0
